INFO:root:evaluating RGB images using Spectral
INFO:root:ImsAndTruths87065.mat score: 0.6714601043626418 clust: 3
INFO:root:ImsAndTruths87065.mat score: 0.6747885066396041 clust: 3
INFO:root:ImsAndTruths245051.mat clusters: [10, 8, 8]
INFO:root:ImsAndTruths245051.mat score: 0.8650928319881488 clust: 10
INFO:root:ImsAndTruths245051.mat score: 0.8790125701491842 clust: 8
INFO:root:ImsAndTruths245051.mat score: 0.8457717622467084 clust: 8
INFO:root:ImsAndTruths242078.mat clusters: [3, 21, 45]
INFO:root:ImsAndTruths242078.mat score: 0.7505876288675997 clust: 3
INFO:root:ImsAndTruths242078.mat score: 0.9941310260620907 clust: 21
INFO:root:ImsAndTruths242078.mat score: 0.995798113611505 clust: 45
INFO:root:ImsAndTruths365073.mat clusters: [7, 8, 12]
INFO:root:ImsAndTruths365073.mat score: 0.9772492766307738 clust: 7
INFO:root:ImsAndTruths365073.mat score: 0.9829249961440546 clust: 8
INFO:root:ImsAndTruths365073.mat score: 0.9928854244100127 clust: 12
INFO:root:ImsAndTruths326038.mat clusters: [4, 2, 4]
INFO:root:ImsAndTruths326038.mat score: 0.8019374031034858 clust: 4
INFO:root:ImsAndTruths326038.mat score: 0.3143554474877836 clust: 2
INFO:root:ImsAndTruths326038.mat score: 0.7610923823337801 clust: 4
INFO:root:ImsAndTruths181079.mat clusters: [5, 5, 13]
INFO:root:ImsAndTruths181079.mat score: 0.8716544559297992 clust: 5
INFO:root:ImsAndTruths181079.mat score: 0.8295354698608965 clust: 5
INFO:root:ImsAndTruths181079.mat score: 0.9866244504920361 clust: 13
INFO:root:ImsAndTruths65010.mat clusters: [9, 6, 5]
INFO:root:ImsAndTruths65010.mat score: 0.9789577115945213 clust: 9
INFO:root:ImsAndTruths65010.mat score: 0.9200536574251363 clust: 6
INFO:root:ImsAndTruths65010.mat score: 0.8249724565052504 clust: 5
INFO:root:ImsAndTruths225017.mat clusters: [4, 4, 5]
INFO:root:ImsAndTruths225017.mat score: 0.7639111120555409 clust: 4
INFO:root:ImsAndTruths225017.mat score: 0.7565544210912137 clust: 4
INFO:root:ImsAndTruths225017.mat score: 0.7993981387256673 clust: 5
INFO:root:ImsAndTruths41025.mat clusters: [6, 4, 4]
INFO:root:ImsAndTruths41025.mat score: 0.9340139241183841 clust: 6
INFO:root:ImsAndTruths41025.mat score: 0.8556401116507534 clust: 4
INFO:root:ImsAndTruths41025.mat score: 0.8833948967412629 clust: 4
INFO:root:ImsAndTruths27059.mat clusters: [10, 8, 9]
INFO:root:ImsAndTruths27059.mat score: 0.9363407075414207 clust: 10
